code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
025400,南方昌元可转债债券B,2026-04-27,2.2292,2.2492,1.62,1.18,9.61,-3.93,18.37,0.0
006030,南方昌元可转债债券A,2026-04-27,2.2302,2.2502,1.62,1.18,9.61,-3.94,18.36,59.79
006031,南方昌元可转债债券C,2026-04-27,2.1818,2.1818,1.62,1.18,9.57,-4.05,18.07,58.99
025464,国泰可转债债券D,2026-04-27,1.8855,1.8855,2.42,1.16,15.34,0.51,16.91,0.0
005246,国泰可转债债券A,2026-04-27,1.8854,1.8854,2.41,1.15,15.34,0.5,16.9,33.46
006254,长城久悦债券A,2026-04-27,1.3979,1.3979,0.76,0.79,6.57,-0.14,15.15,33.6
015723,长城久悦债券C,2026-04-27,1.3781,1.3781,0.75,0.78,6.53,-0.24,14.92,33.07
050019,博时转债增强债券A,2026-04-27,2.5409,2.5459,0.11,-0.49,8.02,-3.13,14.47,39.62
023165,博时转债增强债券E,2026-04-27,2.5405,2.5405,0.11,-0.49,8.02,-3.14,14.47,39.61
050119,博时转债增强债券C,2026-04-27,2.4233,2.4273,0.11,-0.49,7.99,-3.23,14.25,39.06
003382,民生加银鑫享债券A,2026-04-27,1.346,1.354,0.37,-0.14,2.85,-2.46,13.96,30.9
003383,民生加银鑫享债券C,2026-04-27,1.3044,1.3124,0.36,-0.15,2.81,-2.55,13.73,30.37
007955,民生加银鑫享债券D,2026-04-27,1.1398,1.1398,0.36,-0.15,2.81,-2.56,13.73,30.37
217018,招商安瑞进取债券A,2026-04-27,2.6637,2.6637,0.68,0.2,5.33,2.9,13.55,41.46
019500,招商安瑞进取债券C,2026-04-27,2.6494,2.6494,0.68,0.19,5.3,2.82,13.38,41.05
006738,工银瑞信添慧债券A,2026-04-27,1.4477,1.4477,-0.33,-0.26,1.76,1.18,13.37,27.27
080003,长盛积极配置债券A,2026-04-27,1.4497,2.0277,0.06,0.55,8.42,1.88,13.26,21.3
025163,长盛积极配置债券C,2026-04-27,1.4487,1.4487,0.06,0.54,8.41,1.86,13.19,0.0
006739,工银瑞信添慧债券C,2026-04-27,1.4082,1.4082,-0.33,-0.28,1.73,1.08,13.14,26.76
202105,南方广利回报债券A/B,2026-04-27,2.1387,2.4707,1.2,1.39,7.75,0.76,12.91,37.6
240012,华宝增强收益债券A,2026-04-27,1.9046,2.2846,0.64,0.43,7.9,-0.59,12.84,39.4
202107,南方广利回报债券C,2026-04-27,2.1783,2.3953,1.2,1.38,7.72,0.67,12.68,37.04
240013,华宝增强收益债券B,2026-04-27,1.7612,2.1412,0.64,0.42,7.86,-0.69,12.62,38.85
001045,华夏可转债增强债券A,2026-04-27,1.9541,1.9541,1.37,2.07,11.14,-3.44,12.44,45.83
012887,华夏可转债增强债券C,2026-04-27,1.9282,1.9282,1.37,2.06,11.1,-3.53,12.22,45.25
005461,南方希元可转债债券A,2026-04-27,1.9667,1.9667,0.69,0.53,6.34,-2.3,11.67,36.74
024077,南方希元可转债债券D,2026-04-27,1.9668,1.9668,0.69,0.53,6.34,-2.3,11.67,27.19
003510,长盛可转债债券A,2026-04-27,1.2909,1.7272,0.34,0.31,5.23,-0.84,11.61,29.1
003511,长盛可转债债券C,2026-04-27,1.2888,1.7233,0.34,0.3,5.2,-0.92,11.44,28.71
003458,嘉实稳宏债券A,2026-04-27,1.8958,1.8958,0.02,-0.09,5.42,-3.85,11.18,35.18
024213,嘉实稳宏债券D,2026-04-27,1.8961,1.8961,0.02,-0.09,5.42,-3.85,11.18,0.0
003459,嘉实稳宏债券C,2026-04-27,1.8378,1.8378,0.01,-0.09,5.39,-3.93,10.98,34.72
690002,民生增强收益债券A,2026-04-27,2.1367,2.8617,0.43,-0.45,4.84,-4.0,10.95,41.22
005273,华商可转债债券A,2026-04-27,2.1661,2.1661,1.91,2.12,9.58,-3.62,10.81,37.99
000297,鹏华可转债债券A,2026-04-27,1.9498,2.0068,-0.05,-0.12,6.92,-3.58,10.75,39.39
022156,鹏华可转债债券D,2026-04-27,1.6732,1.6732,-0.05,-0.13,6.92,-3.58,10.74,39.4
690202,民生增强收益债券C,2026-04-27,2.0621,2.7321,0.43,-0.45,4.81,-4.09,10.73,40.66
007032,平安可转债债券A,2026-04-27,1.4391,1.4391,0.54,-0.07,4.19,-3.64,10.64,30.11
010964,鹏华可转债债券C,2026-04-27,1.4708,1.4708,-0.05,-0.13,6.91,-3.63,10.63,39.11
005284,华商可转债债券C,2026-04-27,2.1044,2.1044,1.9,2.12,9.54,-3.72,10.59,37.43
530020,建信转债增强债券A,2026-04-27,3.948,3.948,0.48,0.23,5.9,-1.5,10.56,29.44
007033,平安可转债债券C,2026-04-27,1.4011,1.4011,0.54,-0.08,4.16,-3.74,10.42,29.58
531020,建信转债增强债券C,2026-04-27,3.755,3.755,0.48,0.24,5.86,-1.57,10.38,28.95
006147,宝盈融源可转债债券A,2026-04-27,1.616,1.616,0.11,0.04,6.72,-4.28,10.26,31.66
024110,融通增元债券A,2026-04-27,1.1186,1.1186,-0.34,1.22,9.98,8.83,10.23,0.0
006148,宝盈融源可转债债券C,2026-04-27,1.584,1.584,0.1,0.04,6.69,-4.35,10.1,31.26
024111,融通增元债券C,2026-04-27,1.1152,1.1152,-0.34,1.22,9.94,8.74,10.02,0.0
720003,财通收益增强债券A,2026-04-27,1.9175,2.2665,0.68,0.27,3.5,-1.14,9.86,33.57
002986,泰康丰盈债券A,2026-04-27,1.5678,1.5678,0.28,0.5,3.08,-2.96,9.79,12.41
006140,广发集嘉债券A,2026-04-27,1.4263,1.6294,0.81,0.68,9.65,6.16,9.77,17.16
002521,永赢双利债券A,2026-04-27,1.3722,3.3898,0.26,-0.51,4.69,-2.28,9.69,24.41
100051,富国可转债A,2026-04-27,2.462,2.462,0.45,-0.04,5.39,-3.03,9.67,28.43
003204,财通收益增强债券C,2026-04-27,1.8129,2.0899,0.68,0.27,3.46,-1.24,9.65,33.04
019109,泰康丰盈债券C,2026-04-27,1.5555,1.5555,0.28,0.49,3.06,-3.04,9.63,12.08
019540,富国可转换债券E,2026-04-27,2.458,2.458,0.45,-0.08,5.36,-3.04,9.63,28.42
006141,广发集嘉债券C,2026-04-27,1.3898,1.5897,0.81,0.68,9.61,6.06,9.55,16.68
002522,永赢双利债券C,2026-04-27,1.3655,1.5277,0.26,-0.52,4.65,-2.38,9.47,23.91
001751,华商信用增强债券A,2026-04-27,1.994,1.994,0.25,0.3,3.91,1.84,9.26,26.44
009465,东方可转债债券A,2026-04-27,1.3172,1.3622,0.97,0.11,7.13,-8.09,9.15,31.92
007316,交银可转债债券A,2026-04-27,1.9251,1.9251,0.05,0.19,4.33,-0.85,9.12,35.66
002969,易方达丰和债券A,2026-04-27,1.6119,1.7209,0.36,0.84,5.61,6.19,9.09,15.04
001752,华商信用增强债券C,2026-04-27,1.911,1.911,0.26,0.31,3.86,1.76,9.08,25.89
006482,广发可转债债券A,2026-04-27,2.136,2.136,0.39,-0.1,10.3,-1.77,9.04,38.34
022744,广发可转债债券D,2026-04-27,2.1358,2.1358,0.39,-0.1,10.3,-1.76,9.04,38.34
002586,金鹰添利信用债债券A,2026-04-27,1.4117,1.6977,0.11,0.36,4.31,-0.39,8.94,27.16
010629,广发可转债债券E,2026-04-27,2.1133,2.1133,0.39,-0.1,10.29,-1.81,8.94,38.07
009466,东方可转债债券C,2026-04-27,1.2964,1.3364,0.97,0.11,7.1,-8.17,8.93,31.39
007317,交银可转债债券C,2026-04-27,1.8736,1.8736,0.04,0.19,4.29,-0.95,8.9,35.11
016699,易方达丰和债券C,2026-04-27,1.5888,1.5888,0.36,0.84,5.58,6.1,8.87,14.57
240018,华宝可转债债券A,2026-04-27,2.1016,2.1016,0.61,0.1,5.41,-2.22,8.86,28.38
025259,华宝可转债债券D,2026-04-27,2.1016,2.1016,0.61,0.1,5.41,-2.23,8.86,0.0
002587,金鹰添利信用债债券C,2026-04-27,1.397,1.676,0.11,0.36,4.3,-0.43,8.83,26.91
006483,广发可转债债券C,2026-04-27,2.1222,2.1222,0.39,-0.1,10.27,-1.86,8.83,37.79
022105,金鹰添利信用债债券E,2026-04-27,1.3941,1.3941,0.11,0.36,4.29,-0.46,8.79,26.78
008817,华宝可转债债券C,2026-04-27,2.0689,2.0689,0.61,0.09,5.38,-2.29,8.72,28.06
164814,工银双债增强债券,2026-04-27,1.215,1.98,0.75,1.42,6.11,-0.65,8.7,25.7
519977,长信可转债债券A,2026-04-27,2.113,3.073,0.16,-0.48,6.69,-4.65,8.49,31.29
519976,长信可转债债券C,2026-04-27,2.0289,2.9359,0.16,-0.48,6.68,-4.66,8.47,31.24
008331,万家可转债债券A,2026-04-27,1.5409,1.5409,-0.17,-0.77,2.94,-2.91,8.33,24.57
025133,万家可转债债券D,2026-04-27,1.5589,1.5589,-0.18,-0.78,2.94,-2.91,8.32,0.0
200013,长城积极增利债券A,2026-04-27,1.4569,1.9193,0.37,-0.56,4.56,-3.32,8.25,23.85
025278,长城积极增利债券D,2026-04-27,1.4569,1.4569,0.37,-0.56,4.56,-3.32,8.25,0.0
008332,万家可转债债券C,2026-04-27,1.5043,1.5043,-0.19,-0.78,2.9,-3.01,8.11,24.07
003197,光大安诚债券A,2026-04-27,1.4089,1.4854,0.07,-0.55,2.31,-0.28,8.05,24.58
200113,长城积极增利债券C,2026-04-27,1.6981,1.8885,0.37,-0.57,4.53,-3.41,8.04,23.35
003504,景顺长城景颐丰利债券A,2026-04-27,1.6017,1.6555,0.16,0.07,5.37,4.48,8.03,31.74
023512,景顺长城景颐丰利债券F,2026-04-27,1.6012,1.6012,0.15,0.06,5.36,4.47,8.02,31.71
003198,光大安诚债券C,2026-04-27,1.3932,1.4635,0.06,-0.56,2.28,-0.35,7.89,24.2
630009,华商稳定增利债券A,2026-04-27,2.22,2.55,0.73,1.23,5.31,-1.03,7.82,18.72
007833,长盛稳怡添利债券A,2026-04-27,1.3229,1.3754,0.0,0.65,5.17,2.38,7.82,14.4
005945,工银可转债优选债券A,2026-04-27,1.5455,1.5455,-0.12,0.16,5.16,-5.29,7.82,28.86
003505,景顺长城景颐丰利债券C,2026-04-27,1.5623,1.616,0.15,0.06,5.33,4.38,7.81,31.21
016719,富国稳健双盈债券发起式A,2026-04-27,1.1592,1.1592,0.03,0.82,4.35,4.26,7.68,13.27
016720,富国稳健双盈债券发起式C,2026-04-27,1.1581,1.1581,0.02,0.82,4.34,4.26,7.67,13.25
630109,华商稳定增利债券C,2026-04-27,2.082,2.402,0.73,1.22,5.31,-1.09,7.65,18.3
161505,银河通利债券(LOF)A,2026-04-27,1.382,1.822,0.51,0.66,4.07,-1.43,7.63,13.84
007834,长盛稳怡添利债券C,2026-04-27,1.2957,1.3417,-0.01,0.64,5.13,2.28,7.62,13.95
005946,工银可转债优选债券C,2026-04-27,1.4962,1.4962,-0.13,0.15,5.12,-5.39,7.61,28.35
161506,银河通利债券(LOF)C,2026-04-27,1.395,1.795,0.5,0.65,4.03,-1.55,7.47,13.51
210014,金鹰元丰债券A,2026-04-27,1.965,2.4053,0.83,-0.21,9.89,-6.03,7.45,37.21
022568,金鹰元丰债券D,2026-04-27,1.9662,1.9662,0.83,-0.21,9.89,-6.03,7.45,37.22
470058,汇添富可转换债券A,2026-04-27,2.4318,2.7134,-0.29,0.27,2.32,-1.68,7.44,33.67
025413,汇添富可转换债券D,2026-04-27,2.4321,2.4321,-0.29,0.27,2.32,-1.68,7.44,0.0
004993,中欧可转债债券A,2026-04-27,1.6853,1.6853,0.61,0.01,5.13,-0.78,7.39,27.02
023928,中欧可转债债券E,2026-04-27,1.6852,1.6852,0.61,0.01,5.13,-0.78,7.39,27.01
470059,汇添富可转换债券C,2026-04-27,2.2818,2.5634,-0.29,0.26,2.29,-1.78,7.23,33.13
014336,金鹰元丰债券C,2026-04-27,1.9225,1.9225,0.82,-0.22,9.86,-6.12,7.23,36.67
160718,嘉实多利收益债券A,2026-04-27,0.9936,1.7517,0.31,0.64,4.35,3.03,7.2,20.41
004994,中欧可转债债券C,2026-04-27,1.6315,1.6315,0.6,0.01,5.1,-0.87,7.18,26.51
610008,信澳信用债债券A,2026-04-27,1.337,1.859,0.6,0.15,3.0,-0.89,7.13,21.32
610108,信澳信用债债券C,2026-04-27,1.325,1.807,0.61,0.23,3.03,-0.82,7.11,21.12
024989,信澳信用债债券F,2026-04-27,1.343,1.343,0.67,0.22,3.07,-0.89,7.1,0.0
016367,嘉实多利收益债券C,2026-04-27,0.9787,1.2264,0.32,0.64,4.32,2.92,6.99,19.92
011280,华宝双债增强债券A,2026-04-27,1.2825,1.2825,0.24,0.12,2.45,0.23,6.91,17.55
360013,光大信用添益债券A,2026-04-27,1.336,2.284,0.15,-0.3,2.22,-1.4,6.71,28.83
011281,华宝双债增强债券C,2026-04-27,1.257,1.257,0.23,0.12,2.41,0.14,6.7,17.07
016670,博时恒耀债券A,2026-04-27,1.153,1.153,0.31,0.42,2.61,0.99,6.64,18.01
090017,大成可转债增强债券A,2026-04-27,2.0718,2.0818,0.33,0.08,5.63,-4.85,6.63,33.81
360014,光大信用添益债券C,2026-04-27,1.323,2.227,0.15,-0.3,2.16,-1.49,6.61,28.45
019152,大成可转债增强债券C,2026-04-27,2.0649,2.0649,0.33,0.08,5.63,-4.87,6.58,33.69
007684,华商转债精选债券C,2026-04-27,1.3193,1.3193,0.35,-0.22,2.65,1.07,6.49,15.65
007683,华商转债精选债券A,2026-04-27,1.3366,1.3366,0.35,-0.22,2.65,1.08,6.49,15.65
016671,博时恒耀债券C,2026-04-27,1.1392,1.1392,0.31,0.41,2.58,0.91,6.46,17.6
007609,汇安嘉诚债券A,2026-04-27,1.2895,1.342,0.19,-0.23,3.69,-0.27,6.45,18.08
000143,鹏华双债加利债券A,2026-04-27,2.185,2.377,0.0,0.32,2.97,1.72,6.39,21.83
013149,鹏华双债加利债券C,2026-04-27,1.3056,1.3056,0.01,0.32,2.97,1.71,6.38,21.81
022226,鹏华双债加利债券D,2026-04-27,1.3357,1.3357,0.0,0.32,2.97,1.71,6.38,21.81
000014,华夏聚利债券A,2026-04-27,2.2362,2.2362,0.11,-0.29,3.53,-1.5,6.35,23.7
010014,华夏鼎清债券A,2026-04-27,1.2658,1.2658,0.52,1.08,4.43,2.31,6.34,20.37
213007,宝盈增强收益债券A/B,2026-04-27,1.4972,2.2224,0.38,0.65,1.84,-0.39,6.31,5.97
720002,财通可转债债券A,2026-04-27,1.2184,1.5859,0.17,0.38,6.64,-0.34,6.24,22.53
007610,汇安嘉诚债券C,2026-04-27,1.26,1.3085,0.18,-0.25,3.64,-0.37,6.23,17.59
017498,淳厚添益债券A,2026-04-27,1.2843,1.2843,0.03,0.52,3.22,3.34,6.21,17.08
017771,华夏聚利债券C,2026-04-27,2.1947,2.1947,0.1,-0.29,3.5,-1.57,6.2,23.33
022986,华宝双债增强债券D,2026-04-27,1.2736,1.2736,0.24,0.13,2.45,0.24,6.17,16.74
010015,华夏鼎清债券C,2026-04-27,1.2387,1.2387,0.51,1.07,4.39,2.21,6.13,19.89
213917,宝盈增强收益债券C,2026-04-27,1.3787,2.0937,0.38,0.64,1.8,-0.49,6.1,5.54
003205,财通可转债债券C,2026-04-27,1.2639,1.3116,0.17,0.37,6.61,-0.43,6.04,22.03
006650,招商安庆债券,2026-04-27,1.4432,1.4432,0.14,0.3,0.82,1.28,6.02,10.93
017499,淳厚添益债券C,2026-04-27,1.2693,1.2693,0.03,0.51,3.19,3.24,6.0,16.62
006618,长江可转债债券A,2026-04-27,1.6593,1.7953,0.31,0.42,4.81,0.22,5.9,21.87
018980,富国优化增强债券E,2026-04-27,2.182,2.182,0.28,0.32,2.35,0.41,5.87,15.82
018595,华商利欣回报债券A,2026-04-27,1.225,1.225,0.15,0.29,2.72,2.19,5.86,14.72
100035,富国优化增强债券A/B,2026-04-27,2.196,2.511,0.23,0.32,2.33,0.41,5.83,15.76
202101,南方宝元债券A,2026-04-27,2.9203,4.4223,-0.02,0.2,1.65,1.49,5.82,13.3
021883,南方宝元债券E,2026-04-27,2.9209,4.4229,-0.02,0.2,1.65,1.49,5.82,13.28
470010,汇添富多元收益债券A,2026-04-27,1.419,2.1691,0.21,0.67,4.93,3.92,5.76,16.56
162210,宏利集利债券A,2026-04-27,1.3196,2.2583,0.53,1.35,5.49,4.66,5.75,13.95
002459,华夏鼎利债券发起式A,2026-04-27,1.5876,1.8846,0.08,0.12,1.77,0.11,5.74,19.21
018596,华商利欣回报债券C,2026-04-27,1.2154,1.2154,0.15,0.3,2.7,2.13,5.71,14.38
018840,汇添富稳元回报债券发起式A,2026-04-27,1.1358,1.1358,-0.21,-0.63,0.04,-1.4,5.71,7.77
002460,华夏鼎利债券发起式C,2026-04-27,1.5805,1.8685,0.09,0.12,1.76,0.09,5.7,19.09
006619,长江可转债债券C,2026-04-27,1.62,1.745,0.31,0.42,4.77,0.12,5.7,21.38
008345,南华瑞泽债券A,2026-04-27,1.2181,1.3181,-0.25,-0.68,1.05,-0.47,5.7,21.66
005793,华富可转债债券A,2026-04-27,1.7133,1.7133,-0.09,-0.04,3.82,-1.22,5.65,25.17
233012,大摩多元收益债券A,2026-04-27,1.3317,2.1246,0.12,0.08,2.16,1.15,5.64,9.85
952020,国泰海通君得盈债券A,2026-04-27,1.1287,1.4127,0.02,0.04,3.45,1.84,5.63,12.29
003133,易方达裕鑫债券A,2026-04-27,1.8316,1.9006,0.17,0.02,2.47,-0.14,5.57,20.91
023210,国泰海通君得盈债券D,2026-04-27,1.124,1.124,0.02,0.04,3.43,1.81,5.57,11.84
470011,汇添富多元收益债券C,2026-04-27,1.4014,2.0968,0.21,0.67,4.9,3.82,5.55,16.11
162299,宏利集利债券C,2026-04-27,1.3624,2.1386,0.53,1.35,5.47,4.55,5.53,13.49
006585,南方宝元债券C,2026-04-27,2.7922,4.2942,-0.02,0.19,1.6,1.35,5.51,12.63
018841,汇添富稳元回报债券发起式C,2026-04-27,1.1256,1.1256,-0.22,-0.64,0.01,-1.5,5.5,7.34
008346,南华瑞泽债券C,2026-04-27,1.191,1.291,-0.24,-0.68,1.02,-0.57,5.49,21.18
310518,申万菱信可转债债券A,2026-04-27,2.252,2.402,0.09,-0.44,0.45,-4.86,5.48,26.45
022127,华富可转债债券C,2026-04-27,1.7053,1.7053,-0.1,-0.04,3.79,-1.3,5.48,24.78
003134,易方达裕鑫债券C,2026-04-27,1.8186,1.8776,0.17,0.01,2.44,-0.19,5.46,20.66
952320,国泰海通君得盈债券C,2026-04-27,1.1057,1.1057,0.02,0.04,3.41,1.75,5.43,11.83
233013,大摩多元收益债券C,2026-04-27,1.2991,2.0248,0.12,0.07,2.12,1.04,5.42,9.4
630007,华商稳健双利债券A,2026-04-27,1.694,2.259,0.89,1.26,3.8,1.19,5.41,12.26
000003,中海可转债债券A,2026-04-27,1.073,1.283,0.28,0.19,3.77,-7.1,5.4,26.68
004571,万家家瑞债券A,2026-04-27,1.2581,1.3611,0.02,0.1,2.33,2.15,5.4,13.37
005771,银华可转债债券A,2026-04-27,1.7282,1.7282,0.74,0.41,6.42,-3.22,5.37,28.25
012747,富国双利增强债券C,2026-04-27,1.1253,1.1253,0.29,0.37,2.36,0.62,5.36,12.63
023702,银华可转债债券D,2026-04-27,1.7284,1.7284,0.74,0.41,6.42,-3.22,5.36,28.26
110027,易方达安心回报债券A,2026-04-27,2.2559,3.3549,0.08,0.34,3.58,2.21,5.35,11.52
012746,富国双利增强债券A,2026-04-27,1.1316,1.1316,0.28,0.36,2.35,0.62,5.35,12.63
202103,南方多利增强债券A,2026-04-27,1.2287,2.1206,0.11,0.14,2.19,0.8,5.34,10.2
015167,申万菱信可转债债券C,2026-04-27,2.234,2.234,0.04,-0.45,0.4,-4.94,5.33,26.21
013628,广发集悦债券A,2026-04-27,1.11,1.11,0.14,-0.22,2.64,1.39,5.32,10.01
000171,易方达裕丰回报债券A,2026-04-27,2.014,2.481,0.15,0.45,3.81,2.81,5.28,10.48
013629,广发集悦债券C,2026-04-27,1.1051,1.1051,0.14,-0.23,2.63,1.36,5.27,9.89
000004,中海可转债债券C,2026-04-27,1.046,1.256,0.38,0.19,3.77,-7.19,5.23,26.18
003628,兴银收益增强A,2026-04-27,1.3775,1.6274,-0.07,0.07,1.04,0.98,5.21,18.74
202102,南方多利增强债券C,2026-04-27,1.2266,2.0629,0.11,0.14,2.17,0.74,5.19,9.89
004572,万家家瑞债券C,2026-04-27,1.215,1.316,0.02,0.1,2.29,2.05,5.19,12.92
000189,易方达丰华债券A,2026-04-27,1.4568,1.6758,-0.13,0.43,2.14,1.15,5.19,11.09
320021,诺安双利债券发起A,2026-04-27,2.876,2.876,-0.17,-0.07,-0.17,0.0,5.16,12.48
630107,华商稳健双利债券B,2026-04-27,1.671,2.139,0.84,1.21,3.72,1.09,5.16,11.85
010899,上银慧恒收益增强债券A,2026-04-27,0.9783,0.9783,1.19,2.96,7.11,-2.31,5.15,14.92
018500,兴银收益增强C,2026-04-27,1.4391,1.6123,-0.06,0.07,1.03,0.96,5.15,18.63
110028,易方达安心回报债券B,2026-04-27,2.1918,3.2388,0.07,0.33,3.54,2.11,5.14,11.07
016479,易方达裕丰回报债券C,2026-04-27,1.983,1.983,0.15,0.46,3.77,2.69,5.09,10.04
400027,东方双债添利债券A,2026-04-27,1.4777,2.0126,0.08,-0.07,1.01,-2.24,5.05,22.79
019095,东方双债添利债券D,2026-04-27,1.4779,1.4779,0.08,-0.07,1.01,-2.24,5.05,22.79
519730,交银定期支付月月丰债券A,2026-04-27,1.7113,1.7113,0.01,0.07,2.67,1.18,5.01,10.62
002474,中邮睿信增强债券A,2026-04-27,1.45,1.712,0.07,-0.14,1.68,-0.68,5.0,16.75
164902,交银信用添利债券(LOF),2026-04-27,1.1789,1.9039,0.0,0.04,1.77,0.31,4.98,6.6
006867,易方达丰华债券C,2026-04-27,1.4177,1.5207,-0.13,0.43,2.1,1.05,4.98,10.65
014116,上银慧恒收益增强债券C,2026-04-27,0.9667,0.9667,1.18,2.95,7.07,-2.37,4.98,14.57
