序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,022364,永赢科技智选混合发起A,2026-04-27,4.8518,4.8518,1.81,4.24,27.03,25.03,32.13,345.69,,,28.37,385.18,338.3232,0.15%
2,022365,永赢科技智选混合发起C,2026-04-27,4.8076,4.8076,1.8,4.23,26.96,24.84,31.73,342.85,,,28.12,380.76,335.5499,0.00%
3,016370,信澳业绩驱动混合A,2026-04-27,2.607,2.607,0.12,1.27,30.45,41.39,55.58,326.89,377.21,243.84,47.64,160.7,325.6327,0.15%
4,016371,信澳业绩驱动混合C,2026-04-27,2.5499,2.5499,0.12,1.26,30.38,41.19,55.11,324.35,371.51,237.74,47.36,154.99,323.1497,0.00%
5,004320,前海开源沪港深乐享生活,2026-04-27,5.5573,5.5573,0.86,4.49,39.61,55.44,101.31,324.25,392.19,203.54,62.58,455.73,324.7401,0.15%
6,018956,中航机遇领航混合发起A,2026-04-27,4.6781,4.6781,0.2,-2.36,25.66,30.93,43.45,308.71,309.03,,29.66,367.81,313.4423,0.15%
7,008528,华泰柏瑞质量成长A,2026-04-27,2.8712,2.8712,0.78,2.8,29.15,53.04,72.68,308.13,271.44,176.26,61.47,187.12,310.5233,0.15%
8,011452,华泰柏瑞质量成长C,2026-04-27,2.8151,2.8151,0.77,2.79,29.11,52.81,72.24,306.34,268.76,173.18,61.17,53.3,308.6963,0.00%
9,018957,中航机遇领航混合发起C,2026-04-27,4.6017,4.6017,0.2,-2.37,25.6,30.74,43.02,306.26,304.12,,29.41,360.17,310.9762,0.00%
10,010415,华泰柏瑞质量精选混合A,2026-04-27,2.0015,2.0015,0.68,3.22,28.98,50.99,65.78,301.34,257.16,189.9,58.43,100.15,303.9354,0.15%
11,010416,华泰柏瑞质量精选混合C,2026-04-27,1.9531,1.9531,0.68,3.2,28.92,50.96,65.55,299.73,253.95,185.83,58.34,95.31,302.3692,0.00%
12,011369,华商均衡成长混合A,2026-04-27,3.1965,3.1965,0.27,1.34,27.66,51.42,79.07,291.92,333.36,228.05,62.32,219.65,290.0073,0.15%
13,011370,华商均衡成长混合C,2026-04-27,3.1014,3.1014,0.27,1.33,27.59,51.2,78.54,289.62,328.25,222.26,62.01,210.14,287.7235,0.00%
14,001412,德邦鑫星价值灵活配置混合A,2026-04-27,5.1369,5.2749,0.67,-0.21,26.42,31.39,41.04,284.44,323.1,286.52,34.39,484.18,282.9792,0.15%
15,002112,德邦鑫星价值灵活配置混合C,2026-04-27,4.9353,5.0833,0.67,-0.21,26.41,31.35,40.97,284.07,322.25,285.39,34.35,475.03,282.6111,0.00%
16,001437,易方达瑞享混合I,2026-04-27,10.3339,10.3339,0.93,0.66,31.83,48.52,60.45,283.58,288.05,197.81,51.32,933.39,287.72,0.06%
17,001438,易方达瑞享混合E,2026-04-27,8.3594,8.3594,0.92,0.66,31.81,48.45,60.3,282.81,286.47,196.12,51.23,735.94,286.9555,0.00%
18,002692,富国创新科技混合A,2026-04-27,4.364,4.364,1.37,4.93,36.76,46.25,59.04,281.14,255.37,186.35,52.75,336.4,282.1366,0.15%
19,001753,红土创新新兴产业混合A,2026-04-27,4.256,4.256,-0.02,4.49,29.87,43.06,57.69,280.0,323.9,188.74,55.61,325.6,280.3396,0.15%
20,011891,易方达先锋成长混合A,2026-04-27,3.5614,3.5614,1.29,1.76,31.71,50.5,64.56,279.76,287.99,192.06,55.13,256.14,283.7302,0.15%
21,011120,富国创新科技混合C,2026-04-27,4.227,4.227,1.37,4.91,36.66,46.01,58.55,278.76,251.08,181.24,52.43,68.94,279.7844,0.00%
22,011892,易方达先锋成长混合C,2026-04-27,3.4955,3.4955,1.28,1.75,31.66,50.31,64.19,278.14,284.8,188.48,54.89,249.55,282.1472,0.00%
23,010115,易方达远见成长混合A,2026-04-27,3.2252,3.2252,1.3,1.82,31.76,50.28,63.87,276.73,270.5,181.97,54.89,222.52,280.6444,0.15%
24,011412,易方达远见成长混合C,2026-04-27,3.1592,3.1592,1.29,1.81,31.71,50.13,63.53,275.2,267.52,178.56,54.69,215.92,279.1192,0.00%
25,001480,财通成长优选混合A,2026-04-27,5.709,5.709,2.18,3.22,32.18,34.87,47.29,262.25,237.81,197.03,43.59,470.9,257.931,0.15%
26,021528,财通成长优选混合C,2026-04-27,3.277,3.277,2.18,3.21,32.14,34.75,47.02,260.51,,,43.41,227.7,256.5832,0.00%
27,006502,财通集成电路产业股票A,2026-04-27,5.6947,5.6947,2.19,3.48,32.77,35.41,47.32,254.24,265.07,222.54,43.96,469.47,250.0553,0.15%
28,006503,财通集成电路产业股票C,2026-04-27,5.3676,5.3676,2.19,3.46,32.69,35.15,46.74,251.42,259.3,214.89,43.6,436.76,247.3051,0.00%
29,008326,东财通信A,2026-04-27,4.123,4.123,1.13,4.48,30.93,40.45,58.27,249.64,286.16,310.33,48.14,312.3,253.0268,0.10%
30,008327,东财通信C,2026-04-27,4.0588,4.0588,1.13,4.47,30.9,40.37,58.07,248.78,284.25,307.26,48.02,305.88,252.1735,0.00%
31,017490,财通景气甄选一年持有期混合A,2026-04-27,3.6208,3.6208,2.22,3.5,32.25,35.8,46.95,248.22,236.07,,43.23,262.08,244.2807,0.15%
32,014915,财通匠心优选一年持有混合A,2026-04-27,2.2443,2.2443,2.2,3.63,32.92,36.54,46.85,247.68,220.29,196.55,44.18,124.43,243.9013,0.15%
33,017491,财通景气甄选一年持有期混合C,2026-04-27,3.5418,3.5418,2.21,3.48,32.17,35.53,46.36,245.44,230.76,,42.87,254.18,241.5429,0.00%
34,014916,财通匠心优选一年持有混合C,2026-04-27,2.1727,2.1727,2.2,3.61,32.82,36.27,46.27,244.93,215.2,189.5,43.81,117.27,241.1368,0.00%
35,001075,宝盈转型动力混合A,2026-04-27,3.5401,3.5401,0.8,3.51,28.31,30.4,44.41,243.43,252.14,320.49,39.29,254.01,246.7966,0.15%
36,006887,诺德新生活混合A,2026-04-27,3.0089,3.0089,1.15,2.96,24.41,27.58,37.98,242.86,244.43,165.64,31.11,200.89,243.9529,0.12%
37,006888,诺德新生活混合C,2026-04-27,3.0002,3.0002,1.15,2.95,24.4,27.54,37.91,242.53,243.7,164.85,31.06,200.02,243.6262,0.00%
38,015389,宝盈转型动力混合C,2026-04-27,3.4709,3.4709,0.8,3.51,28.26,30.25,44.06,241.72,248.66,314.44,39.08,298.86,245.0885,0.00%
39,720001,财通价值动量混合A,2026-04-27,11.342,11.813,1.41,2.07,27.58,29.39,42.92,239.07,202.37,182.98,37.88,1402.75,235.2646,0.15%
40,021523,财通价值动量混合C,2026-04-27,2.949,2.949,1.41,2.08,27.55,29.29,42.67,237.8,,,37.74,194.9,233.9751,0.00%
41,019829,华夏数字产业混合A,2026-04-27,3.7076,3.7076,0.59,4.25,33.1,40.8,52.41,237.3,270.24,,47.19,270.76,235.2867,0.15%
42,019830,华夏数字产业混合C,2026-04-27,3.652,3.652,0.58,4.23,33.03,40.6,51.95,235.23,264.91,,46.89,265.2,233.2421,0.00%
43,162201,宏利成长混合,2026-04-27,6.1317,8.5282,0.42,4.07,32.39,40.08,53.64,231.53,253.86,245.35,48.45,4474.29,231.8019,0.15%
44,020899,天弘中证全指通信设备指数发起A,2026-04-27,3.4283,3.4283,0.97,1.29,25.86,26.84,40.03,231.27,226.63,,30.9,242.83,235.8115,0.10%
45,020900,天弘中证全指通信设备指数发起C,2026-04-27,3.4148,3.4148,0.96,1.28,25.84,26.78,39.89,230.6,225.37,,30.81,241.48,235.1457,0.00%
46,740001,长安宏观策略混合A,2026-04-27,3.522,4.342,0.54,4.67,33.46,46.63,48.42,229.78,187.04,140.25,46.44,476.43,228.8515,0.15%
47,016579,长安宏观策略混合C,2026-04-27,3.459,3.459,0.55,4.66,33.4,46.44,48.07,228.18,183.99,136.59,46.2,164.25,227.2469,0.00%
48,020691,博时中证全指通信设备指数发起式A,2026-04-27,3.2907,3.2907,0.99,1.16,25.32,25.59,39.0,225.81,,,29.67,229.07,230.1595,0.10%
49,020692,博时中证全指通信设备指数发起式C,2026-04-27,3.2785,3.2785,0.99,1.15,25.3,25.53,38.87,225.18,,,29.59,227.85,229.4975,0.00%
50,008555,华商龙头优势混合,2026-04-27,2.3149,2.3149,1.09,2.59,23.74,31.15,51.0,224.26,173.79,140.13,46.62,131.49,223.6717,0.15%
51,001184,易方达新常态灵活配置混合,2026-04-27,1.673,1.673,1.64,4.04,29.09,35.47,49.91,221.73,195.58,185.01,43.85,67.3,222.973,0.15%
52,007817,国泰中证全指通信设备ETF联接A,2026-04-27,3.7894,3.7894,0.96,1.21,25.29,25.76,37.89,220.48,223.05,270.13,29.96,278.94,224.6851,0.10%
53,519770,交银优择回报灵活配置混合A,2026-04-27,4.6623,4.7373,2.76,3.19,26.72,25.44,36.38,220.12,236.14,230.66,35.7,400.12,223.2097,0.08%
54,007818,国泰中证全指通信设备ETF联接C,2026-04-27,3.7111,3.7111,0.96,1.2,25.26,25.67,37.68,219.54,221.11,266.82,29.84,271.11,223.7177,0.00%
55,022500,国泰中证全指通信设备ETF联接E,2026-04-27,3.7735,3.7735,0.96,1.2,25.26,25.67,37.68,219.54,,,29.83,174.12,223.7388,0.00%
56,519771,交银优择回报灵活配置混合C,2026-04-27,4.6496,4.7246,2.76,3.19,26.7,25.38,36.24,219.49,234.74,228.59,35.62,398.89,222.5977,0.00%
57,001170,宏利复兴混合A,2026-04-27,4.016,4.016,0.43,4.01,32.63,42.82,57.74,218.23,286.9,212.04,51.83,301.6,216.2205,0.15%
58,017612,宏利复兴混合C,2026-04-27,3.977,3.977,0.4,4.0,32.61,42.7,57.5,217.4,284.25,209.25,51.68,240.5,215.1347,0.00%
59,006265,红土创新新科技股票A,2026-04-27,8.2112,8.2612,0.71,4.82,24.41,41.59,64.36,217.37,278.1,185.07,59.29,733.61,216.9491,0.15%
60,011815,恒越优势精选混合A,2026-04-27,1.8627,1.8627,-0.09,7.17,29.49,17.11,34.06,213.53,238.73,170.03,26.18,86.27,215.7654,0.15%
61,000531,东吴阿尔法灵活配置混合A,2026-04-27,2.8985,2.8985,2.29,3.83,28.93,26.58,26.32,211.87,195.89,113.2,29.43,189.85,217.5394,0.15%
62,005903,宏利绩优混合A,2026-04-27,3.9788,4.2198,0.47,4.0,33.13,44.21,58.3,211.53,236.1,189.03,54.91,372.27,210.1653,0.15%
63,014581,东吴阿尔法灵活配置混合C,2026-04-27,2.8712,2.8712,2.28,3.82,28.89,26.46,26.06,210.6,193.55,110.67,29.26,31.31,216.2811,0.00%
64,015576,宏利绩优混合C,2026-04-27,3.9182,4.1592,0.46,3.99,33.09,44.07,57.99,210.3,233.49,185.6,54.72,170.55,208.9819,0.00%
65,001194,景顺长城稳健回报混合A,2026-04-27,5.799,5.864,1.65,1.63,26.17,21.39,38.1,209.28,305.52,309.53,28.9,506.98,206.8254,0.10%
66,001407,景顺长城稳健回报混合C,2026-04-27,5.613,5.676,1.65,1.63,26.13,21.34,37.98,208.75,304.1,306.44,28.83,476.31,206.2193,0.00%
67,580006,东吴新经济混合A,2026-04-27,1.9426,2.3326,2.32,3.72,28.85,26.41,26.16,207.23,196.63,88.93,29.47,169.2,213.0701,0.15%
68,012617,东吴新经济混合C,2026-04-27,1.9071,1.9071,2.32,3.72,28.81,26.28,25.91,206.02,194.26,86.68,29.3,17.13,211.8215,0.00%
69,008988,大成科技创新混合A,2026-04-27,4.2248,4.2248,1.45,5.09,27.9,31.49,39.52,204.4,262.61,248.61,40.34,322.48,203.3532,0.15%
70,008989,大成科技创新混合C,2026-04-27,4.125,4.125,1.45,5.08,27.86,31.37,39.25,203.22,259.73,244.44,40.17,312.5,202.1978,0.00%
71,000390,华商优势行业混合A,2026-04-27,2.776,5.391,0.04,1.5,27.34,41.7,57.34,203.17,209.47,193.11,48.45,2039.75,203.7363,0.15%
72,009855,中加新兴成长混合A,2026-04-27,2.9163,2.9163,1.29,2.39,25.53,36.09,49.2,202.61,187.46,154.45,45.9,191.63,204.7335,0.12%
73,009856,中加新兴成长混合C,2026-04-27,2.8485,2.8485,1.27,2.36,25.47,35.93,48.88,201.36,185.11,151.37,45.69,184.85,203.4839,0.00%
74,240011,华宝大盘精选混合,2026-04-27,5.9766,6.6034,-0.31,2.78,17.37,19.99,24.56,200.24,188.7,154.91,22.05,668.45,205.0694,0.15%
75,008382,融通产业趋势股票,2026-04-27,1.9971,2.0521,0.59,4.56,38.0,43.32,61.64,200.18,196.83,139.81,48.58,109.44,199.7748,0.15%
76,168401,红土精选混合(LOF)A,2026-04-27,5.946,5.946,0.66,4.29,23.91,38.1,57.77,200.15,249.5,162.71,54.09,494.6,200.2879,0.15%
77,002152,华宝核心优势混合A,2026-04-27,5.64,5.64,-0.12,2.4,15.93,18.99,24.07,198.89,191.47,168.83,21.19,464.0,203.8793,0.15%
78,001513,易方达信息产业混合A,2026-04-27,7.17,7.29,1.14,3.43,25.22,24.68,33.64,197.57,237.61,187.97,32.48,632.61,197.5657,0.15%
79,016461,华宝核心优势混合C,2026-04-27,5.541,5.541,-0.13,2.36,15.87,18.8,23.68,197.26,188.14,165.12,20.96,187.55,202.1265,0.00%
80,019018,易方达信息产业混合C,2026-04-27,7.078,7.198,1.14,3.43,25.16,24.53,33.3,195.99,234.44,,32.3,240.58,196.1097,0.00%
81,021933,富国中证通信设备主题ETF发起式联接A,2026-04-27,3.3723,3.3723,0.15,-1.41,22.68,22.05,39.91,193.86,,,27.02,237.23,197.6697,0.12%
82,021934,富国中证通信设备主题ETF发起式联接C,2026-04-27,3.361,3.361,0.15,-1.41,22.66,21.99,39.77,193.31,,,26.94,236.1,197.1181,0.00%
83,001956,国联安科技动力,2026-04-27,3.5412,3.5412,0.9,2.49,32.52,33.92,40.88,192.52,170.3,111.11,39.6,254.12,191.4328,0.15%
84,021988,银河中证通信设备主题指数发起式A,2026-04-27,2.616,2.616,0.03,-1.6,22.32,21.8,39.36,192.49,,,26.38,161.6,196.2292,0.10%
85,021989,银河中证通信设备主题指数发起式C,2026-04-27,2.6044,2.6044,0.03,-1.61,22.28,21.71,39.16,191.61,,,26.26,160.44,195.3504,0.00%
86,002272,新华科技创新主题灵活配置混合,2026-04-27,2.5198,2.5198,0.48,5.61,39.58,37.64,60.45,189.23,196.76,79.01,57.02,151.98,189.6322,0.15%
87,008086,华夏中证5G通信主题ETF联接A,2026-04-27,2.8732,2.8732,1.68,3.12,26.66,25.09,31.64,187.15,204.04,212.64,30.53,187.32,190.6626,0.12%
88,023451,中欧信息科技混合发起A,2026-04-27,2.7211,2.7211,1.73,1.88,26.04,31.24,30.05,186.7,,,34.28,172.11,186.9451,0.15%
89,009242,中加核心智造混合A,2026-04-27,3.1965,3.2565,-0.27,1.47,25.08,39.77,47.17,186.58,164.26,140.41,46.13,235.36,187.4292,0.15%
90,023765,华夏中证5G通信主题ETF联接D,2026-04-27,2.8221,2.8221,1.69,3.12,26.64,25.03,31.51,186.57,,,30.45,213.46,190.0709,0.00%
91,008087,华夏中证5G通信主题ETF联接C,2026-04-27,2.8189,2.8189,1.68,3.11,26.63,25.0,31.44,186.27,202.23,209.87,30.41,181.89,189.7718,0.00%
92,017234,永赢睿恒混合A,2026-04-27,2.7397,2.7397,-0.1,1.43,15.91,9.24,28.7,185.47,,,24.99,173.97,186.0409,1.50%
93,009243,中加核心智造混合C,2026-04-27,3.12,3.18,-0.27,1.46,25.03,39.64,46.87,185.4,162.25,137.61,45.94,227.5,186.2911,0.00%
94,015096,东财数字经济混合发起式A,2026-04-27,2.5129,2.5129,0.85,1.47,32.04,31.19,28.24,184.88,159.81,128.61,30.39,151.29,186.1747,0.15%
95,023452,中欧信息科技混合发起C,2026-04-27,2.6999,2.6999,1.73,1.87,25.98,31.07,29.69,184.71,,,34.06,169.99,184.9499,0.00%
96,009062,财通智慧成长混合A,2026-04-27,2.8335,2.8335,0.54,5.56,25.09,15.88,34.25,184.66,162.95,136.32,29.09,183.35,181.4083,0.15%
97,020661,中加科技创新混合发起式A,2026-04-27,2.7112,2.7112,0.84,-1.56,24.83,17.44,34.31,183.95,199.28,,29.73,171.12,184.8198,0.15%
98,022368,永赢睿恒混合C,2026-04-27,2.718,2.718,-0.11,1.42,15.85,9.07,28.31,183.86,,,24.75,171.8,184.4286,0.00%
99,290008,泰信发展主题混合,2026-04-27,2.84,3.279,1.83,5.77,17.07,34.03,80.66,183.72,168.18,56.91,42.07,285.5,186.5792,0.15%
100,008889,银华中证5G通信主题ETF联接A,2026-04-27,2.2076,2.2076,1.62,3.02,26.53,24.33,30.63,183.03,199.38,208.02,29.4,120.76,186.4037,0.12%
